CODCLIFOR;DOCUMENTO;TIPODOCUMENTO;ESERCIZIO;TIPODOC;NUMERODOC;BIS;DATADOC;DATASCADENZA;IMPORTOSCEURO;ESITO;DSCESITO;DATAPAGEFF;IDTESTA
C  2066;FTI/2016/2577;Fatt. clienti italia;2016;FTI;2577;;2016-06-10 00:00:00.000;2016-09-30 00:00:00.000;4130.3100;2;PAGATO;2016-06-10 00:00:00.000;422400
C  2106;FTI/2016/2579;Fatt. clienti italia;2016;FTI;2579;;2016-06-10 00:00:00.000;2016-09-30 00:00:00.000;2062.0000;2;PAGATO;2016-06-10 00:00:00.000;422402
C  2183;FTI/2016/2581;Fatt. clienti italia;2016;FTI;2581;;2016-06-10 00:00:00.000;2016-10-31 00:00:00.000;42924.4800;2;PAGATO;2016-11-29 00:00:00.000;422404
C  2197;FTI/2016/2583;Fatt. clienti italia;2016;FTI;2583;;2016-06-10 00:00:00.000;2016-10-10 00:00:00.000;11733.9600;2;PAGATO;2016-06-10 00:00:00.000;422406
C  2220;FTI/2016/2585;Fatt. clienti italia;2016;FTI;2585;;2016-06-10 00:00:00.000;2016-10-31 00:00:00.000;7873.7500;2;PAGATO;2016-11-15 00:00:00.000;422408
C  2222;FTI/2016/2586;Fatt. clienti italia;2016;FTI;2586;;2016-06-10 00:00:00.000;2016-09-10 00:00:00.000;497.7600;2;PAGATO;2016-06-10 00:00:00.000;422409
C  2263;FTI/2016/2588;Fatt. clienti italia;2016;FTI;2588;;2016-06-10 00:00:00.000;2016-09-10 00:00:00.000;3164.2300;4;INSOLUTO PAGATO;2016-10-28 00:00:00.000;422411
C  2273;FTI/2016/2589;Fatt. clienti italia;2016;FTI;2589;;2016-06-10 00:00:00.000;2016-09-30 00:00:00.000;3905.9500;2;PAGATO;2016-06-10 00:00:00.000;422412
C  2310;FTI/2016/2591;Fatt. clienti italia;2016;FTI;2591;;2016-06-10 00:00:00.000;2016-09-10 00:00:00.000;3032.4300;4;INSOLUTO PAGATO;2016-09-13 00:00:00.000;422414
C  2341;FTI/2016/2593;Fatt. clienti italia;2016;FTI;2593;;2016-06-10 00:00:00.000;2016-09-10 00:00:00.000;144.8800;2;PAGATO;2016-06-10 00:00:00.000;422416
C  2366;FTI/2016/2595;Fatt. clienti italia;2016;FTI;2595;;2016-06-10 00:00:00.000;2016-09-10 00:00:00.000;292.8000;2;PAGATO;2016-06-10 00:00:00.000;422418
C  2408;FTI/2016/2597;Fatt. clienti italia;2016;FTI;2597;;2016-06-10 00:00:00.000;2016-10-10 00:00:00.000;12885.1500;2;PAGATO;2016-06-10 00:00:00.000;422420
C  2489;FTI/2016/2599;Fatt. clienti italia;2016;FTI;2599;;2016-06-10 00:00:00.000;2016-10-31 00:00:00.000;14309.0000;2;PAGATO;2016-10-11 00:00:00.000;422422
C  2560;FTI/2016/2601;Fatt. clienti italia;2016;FTI;2601;;2016-06-10 00:00:00.000;2016-09-10 00:00:00.000;1586.6400;2;PAGATO;2016-06-10 00:00:00.000;422424
C  2583;FTI/2016/2602;Fatt. clienti italia;2016;FTI;2602;;2016-06-10 00:00:00.000;2016-09-10 00:00:00.000;1372.5000;2;PAGATO;2016-06-10 00:00:00.000;422425
C  2666;FTI/2016/2604;Fatt. clienti italia;2016;FTI;2604;;2016-06-10 00:00:00.000;2016-09-30 00:00:00.000;327.8800;2;PAGATO;2016-06-10 00:00:00.000;422427
C  2707;FTI/2016/2606;Fatt. clienti italia;2016;FTI;2606;;2016-06-10 00:00:00.000;2016-09-10 00:00:00.000;1999.7400;2;PAGATO;2016-06-10 00:00:00.000;422429
C  2734;FTI/2016/2607;Fatt. clienti italia;2016;FTI;2607;;2016-06-10 00:00:00.000;2016-07-31 00:00:00.000;10436.6100;2;PAGATO;2016-06-10 00:00:00.000;422430
C  2772;FTI/2016/2609;Fatt. clienti italia;2016;FTI;2609;;2016-06-10 00:00:00.000;2016-09-10 00:00:00.000;1720.2000;2;PAGATO;2016-06-10 00:00:00.000;422432
C  2786;FTI/2016/2611;Fatt. clienti italia;2016;FTI;2611;;2016-06-10 00:00:00.000;2016-07-31 00:00:00.000;282.1300;2;PAGATO;2016-06-10 00:00:00.000;422434
C  2815;FTI/2016/2613;Fatt. clienti italia;2016;FTI;2613;;2016-06-10 00:00:00.000;2016-09-30 00:00:00.000;12369.3400;2;PAGATO;2016-10-06 00:00:00.000;422436
C  2831;FTI/2016/2615;Fatt. clienti italia;2016;FTI;2615;;2016-06-10 00:00:00.000;2016-08-31 00:00:00.000;228.7500;2;PAGATO;2016-09-02 00:00:00.000;422438
C  1531;FTE/2016/1043;Fatt. clienti estero;2016;FTE;1043;;2016-06-14 00:00:00.000;2016-09-12 00:00:00.000;18273.1400;2;PAGATO;2016-10-14 00:00:00.000;422479
C  2278;FTE/2016/1044;Fatt. clienti estero;2016;FTE;1044;;2016-06-14 00:00:00.000;2016-08-13 00:00:00.000;5760.0000;2;PAGATO;2016-08-29 00:00:00.000;422483
C  2267;FTE/2016/1047;Fatt. clienti estero;2016;FTE;1047;;2016-06-14 00:00:00.000;2016-09-30 00:00:00.000;10358.4000;2;PAGATO;2016-09-29 00:00:00.000;422531
C  1988;FTE/2016/1049;Fatt. clienti estero;2016;FTE;1049;;2016-06-14 00:00:00.000;2016-09-30 00:00:00.000;22000.0000;2;PAGATO;2016-08-19 00:00:00.000;422533
C  1870;FTE/2016/1051;Fatt. clienti estero;2016;FTE;1051;;2016-06-14 00:00:00.000;2016-09-12 00:00:00.000;20880.0000;2;PAGATO;2016-08-25 00:00:00.000;422536
C  1048;FTE/2016/1053;Fatt. clienti estero;2016;FTE;1053;;2016-06-14 00:00:00.000;2016-08-31 00:00:00.000;9231.2000;2;PAGATO;2016-09-05 00:00:00.000;422538
C  2776;FTE/2016/1055;Fatt. clienti estero;2016;FTE;1055;;2016-06-15 00:00:00.000;2016-08-31 00:00:00.000;18683.3000;0;NON EMESSO;NULL;422544
C  2547;FTE/2016/1057;Fatt. clienti estero;2016;FTE;1057;;2016-06-16 00:00:00.000;2016-08-15 00:00:00.000;20394.0000;2;PAGATO;2016-08-12 00:00:00.000;422645
C  2404;FTE/2016/1059;Fatt. clienti estero;2016;FTE;1059;;2016-06-16 00:00:00.000;2016-08-31 00:00:00.000;23320.0000;2;PAGATO;2016-10-14 00:00:00.000;422656
C  2763;FTE/2016/1061;Fatt. clienti estero;2016;FTE;1061;;2016-06-16 00:00:00.000;2016-08-31 00:00:00.000;8161.4000;2;PAGATO;2016-08-30 00:00:00.000;422659
C  1527;FTE/2016/1064;Fatt. clienti estero;2016;FTE;1064;;2016-06-16 00:00:00.000;2016-08-31 00:00:00.000;9534.0000;2;PAGATO;2016-09-01 00:00:00.000;422674
C  2558;FTI/2016/2618;Fatt. clienti italia;2016;FTI;2618;;2016-06-16 00:00:00.000;2016-07-11 00:00:00.000;3665.6000;2;PAGATO;2016-06-16 00:00:00.000;422727
C  1040;FTE/2016/1066;Fatt. clienti estero;2016;FTE;1066;;2016-06-16 00:00:00.000;2016-09-30 00:00:00.000;896.2500;2;PAGATO;2016-10-12 00:00:00.000;422741
C  2580;FTE/2016/1068;Fatt. clienti estero;2016;FTE;1068;;2016-06-16 00:00:00.000;2016-08-31 00:00:00.000;15019.2000;2;PAGATO;2016-09-30 00:00:00.000;422779
C  2519;FTE/2016/1070;Fatt. clienti estero;2016;FTE;1070;;2016-06-16 00:00:00.000;2016-07-31 00:00:00.000;10840.0000;2;PAGATO;2016-08-19 00:00:00.000;422781
C  2580;FTE/2016/1072;Fatt. clienti estero;2016;FTE;1072;;2016-06-16 00:00:00.000;2016-08-31 00:00:00.000;23347.0000;2;PAGATO;2016-09-30 00:00:00.000;422783
C  2302;FTE/2016/1075;Fatt. clienti estero;2016;FTE;1075;;2016-06-16 00:00:00.000;2016-08-15 00:00:00.000;3230.5500;2;PAGATO;2016-08-17 00:00:00.000;422787
C  2788;FTE/2016/1077;Fatt. clienti estero;2016;FTE;1077;;2016-06-16 00:00:00.000;2016-09-30 00:00:00.000;4052.4000;2;PAGATO;2016-09-14 00:00:00.000;422790
C  1230;FTE/2016/1079;Fatt. clienti estero;2016;FTE;1079;;2016-06-16 00:00:00.000;2016-07-31 00:00:00.000;805.0000;2;PAGATO;2016-08-10 00:00:00.000;422792
C  1026;FTE/2016/1081;Fatt. clienti estero;2016;FTE;1081;;2016-06-16 00:00:00.000;2016-10-31 00:00:00.000;600.0000;2;PAGATO;2016-11-08 00:00:00.000;422794
C  2726;FTE/2016/1083;Fatt. clienti estero;2016;FTE;1083;;2016-06-17 00:00:00.000;2016-08-16 00:00:00.000;6092.7000;2;PAGATO;2016-09-15 00:00:00.000;422811
C  2776;FTE/2016/1084;Fatt. clienti estero;2016;FTE;1084;;2016-06-17 00:00:00.000;2016-08-31 00:00:00.000;16332.8300;2;PAGATO;2016-07-13 00:00:00.000;422818
C  1870;FTE/2016/1062;Fatt. clienti estero;2016;FTE;1062;;2016-06-16 00:00:00.000;2016-09-14 00:00:00.000;18169.2000;2;PAGATO;2016-08-25 00:00:00.000;422869
C  1991;FTE/2016/1086;Fatt. clienti estero;2016;FTE;1086;;2016-06-17 00:00:00.000;2016-08-16 00:00:00.000;16012.5000;2;PAGATO;2016-10-10 00:00:00.000;422875
C  2345;FTE/2016/1088;Fatt. clienti estero;2016;FTE;1088;;2016-06-17 00:00:00.000;2016-10-31 00:00:00.000;22642.4000;2;PAGATO;2016-11-02 00:00:00.000;422915
C  2409;FTE/2016/1090;Fatt. clienti estero;2016;FTE;1090;;2016-06-20 00:00:00.000;2016-09-18 00:00:00.000;14520.3400;2;PAGATO;2016-09-28 00:00:00.000;422935
C  1015;FTE/2016/1092;Fatt. clienti estero;2016;FTE;1092;;2016-06-20 00:00:00.000;2016-10-18 00:00:00.000;21320.0000;0;NON EMESSO;NULL;422941
C  2564;FTS/2016/2620;Fattura servizi;2016;FTS;2620;;2016-06-17 00:00:00.000;2016-08-31 00:00:00.000;2200.0000;0;NON EMESSO;NULL;422968
C  2216;FTE/2016/1094;Fatt. clienti estero;2016;FTE;1094;;2016-06-20 00:00:00.000;2016-07-20 00:00:00.000;5625.0000;2;PAGATO;2016-07-22 00:00:00.000;422979
C  2216;FTE/2016/1096;Fatt. clienti estero;2016;FTE;1096;;2016-06-20 00:00:00.000;2016-07-20 00:00:00.000;9180.0000;2;PAGATO;2016-08-01 00:00:00.000;422981
C  1464;FTE/2016/1099;Fatt. clienti estero;2016;FTE;1099;;2016-06-20 00:00:00.000;2016-09-18 00:00:00.000;17018.7000;2;PAGATO;2016-09-20 00:00:00.000;423066
C  2659;FTE/2016/1101;Fatt. clienti estero;2016;FTE;1101;;2016-06-21 00:00:00.000;2016-06-21 00:00:00.000;9658.5000;2;PAGATO;2016-07-27 00:00:00.000;423068
C  2710;FTE/2016/1102;Fatt. clienti estero;2016;FTE;1102;;2016-06-21 00:00:00.000;2016-08-20 00:00:00.000;20988.0000;2;PAGATO;2016-08-19 00:00:00.000;423081
